,time,S,I,R,M
0,0.00000,500.00000,5.00000,0.00000,0.00000
1,0.05000,499.74596,5.16510,0.06353,0.02541
2,0.10000,499.48367,5.33552,0.12915,0.05166
3,0.15000,499.21287,5.51142,0.19694,0.07877
4,0.20000,498.93330,5.69295,0.26696,0.10678
5,0.25000,498.64470,5.88030,0.33929,0.13571
6,0.30000,498.34677,6.07364,0.41399,0.16560
7,0.35000,498.03925,6.27314,0.49115,0.19646
8,0.40000,497.72182,6.47899,0.57085,0.22834
9,0.45000,497.39420,6.69139,0.65315,0.26126
10,0.50000,497.05607,6.91051,0.73816,0.29526
11,0.55000,496.70711,7.13657,0.82595,0.33038
12,0.60000,496.34700,7.36976,0.91660,0.36664
13,0.65000,495.97540,7.61029,1.01022,0.40409
14,0.70000,495.59198,7.85837,1.10689,0.44276
15,0.75000,495.19638,8.11423,1.20671,0.48268
16,0.80000,494.78823,8.37808,1.30978,0.52391
17,0.85000,494.36718,8.65015,1.41620,0.56648
18,0.90000,493.93283,8.93067,1.52607,0.61043
19,0.95000,493.48482,9.21988,1.63950,0.65580
20,1.00000,493.02273,9.51803,1.75660,0.70264
21,1.05000,492.54616,9.82536,1.87749,0.75100
22,1.10000,492.05470,10.14212,2.00228,0.80091
23,1.15000,491.54792,10.46856,2.13108,0.85243
24,1.20000,491.02539,10.80496,2.26403,0.90561
25,1.25000,490.48667,11.15158,2.40125,0.96050
26,1.30000,489.93130,11.50869,2.54287,1.01715
27,1.35000,489.35882,11.87656,2.68901,1.07560
28,1.40000,488.76876,12.25548,2.83983,1.13593
29,1.45000,488.16064,12.64574,2.99545,1.19818
30,1.50000,487.53396,13.04761,3.15602,1.26241
31,1.55000,486.88824,13.46140,3.32169,1.32867
32,1.60000,486.22295,13.88740,3.49260,1.39704
33,1.65000,485.53759,14.32592,3.66892,1.46757
34,1.70000,484.83162,14.77725,3.85080,1.54032
35,1.75000,484.10451,15.24171,4.03841,1.61536
36,1.80000,483.35572,15.71961,4.23190,1.69276
37,1.85000,482.58470,16.21126,4.43146,1.77258
38,1.90000,481.79087,16.71698,4.63724,1.85490
39,1.95000,480.97369,17.23709,4.84944,1.93978
40,2.00000,480.13256,17.77191,5.06823,2.02729
41,2.05000,479.26692,18.32176,5.29380,2.11752
42,2.10000,478.37616,18.88696,5.52634,2.21054
43,2.15000,477.45970,19.46784,5.76604,2.30642
44,2.20000,476.51694,20.06472,6.01310,2.40524
45,2.25000,475.54727,20.67792,6.26773,2.50709
46,2.30000,474.55007,21.30776,6.53012,2.61205
47,2.35000,473.52474,21.95457,6.80049,2.72020
48,2.40000,472.47066,22.61866,7.07906,2.83162
49,2.45000,471.38720,23.30035,7.36603,2.94641
50,2.50000,470.27375,23.99995,7.66164,3.06466
51,2.55000,469.12969,24.71776,7.96611,3.18644
52,2.60000,467.95438,25.45410,8.27966,3.31186
53,2.65000,466.74721,26.20924,8.60254,3.44101
54,2.70000,465.50755,26.98349,8.93497,3.57399
55,2.75000,464.23480,27.77711,9.27721,3.71088
56,2.80000,462.92833,28.59040,9.62948,3.85179
57,2.85000,461.58754,29.42360,9.99205,3.99682
58,2.90000,460.21182,30.27697,10.36516,4.14606
59,2.95000,458.80058,31.15074,10.74906,4.29962
60,3.00000,457.35323,32.04516,11.14401,4.45760
61,3.05000,455.86919,32.96042,11.55027,4.62011
62,3.10000,454.34791,33.89674,11.96811,4.78724
63,3.15000,452.78883,34.85428,12.39778,4.95911
64,3.20000,451.19141,35.83321,12.83955,5.13582
65,3.25000,449.55513,36.83369,13.29370,5.31748
66,3.30000,447.87949,37.85583,13.76049,5.50419
67,3.35000,446.16400,38.89973,14.24019,5.69607
68,3.40000,444.40821,39.96549,14.73307,5.89323
69,3.45000,442.61166,41.05316,15.23942,6.09577
70,3.50000,440.77395,42.16276,15.75949,6.30380
71,3.55000,438.89469,43.29431,16.29358,6.51743
72,3.60000,436.97351,44.44777,16.84194,6.73678
73,3.65000,435.01008,45.62311,17.40486,6.96194
74,3.70000,433.00411,46.82023,17.98261,7.19304
75,3.75000,430.95533,48.03903,18.57546,7.43018
