x,y,value
0.00000,0.00000,0.25032
0.10000,0.00000,0.25031
0.20000,0.00000,0.25028
0.30000,0.00000,0.25025
0.40000,0.00000,0.25021
0.50000,0.00000,0.25017
0.60000,0.00000,0.25013
0.70000,0.00000,0.25010
0.80000,0.00000,0.25007
0.90000,0.00000,0.25006
0.00000,0.10000,0.25031
0.10000,0.10000,0.25030
0.20000,0.10000,0.25027
0.30000,0.10000,0.25024
0.40000,0.10000,0.25020
0.50000,0.10000,0.25016
0.60000,0.10000,0.25012
0.70000,0.10000,0.25008
0.80000,0.10000,0.25006
0.90000,0.10000,0.25004
0.00000,0.20000,0.25028
0.10000,0.20000,0.25027
0.20000,0.20000,0.25025
0.30000,0.20000,0.25021
0.40000,0.20000,0.25018
0.50000,0.20000,0.25014
0.60000,0.20000,0.25010
0.70000,0.20000,0.25006
0.80000,0.20000,0.25002
0.90000,0.20000,0.25001
0.00000,0.30000,0.25025
0.10000,0.30000,0.25024
0.20000,0.30000,0.25021
0.30000,0.30000,0.25018
0.40000,0.30000,0.25015
0.50000,0.30000,0.25011
0.60000,0.30000,0.25006
0.70000,0.30000,0.25001
0.80000,0.30000,0.24998
0.90000,0.30000,0.24996
0.00000,0.40000,0.25021
0.10000,0.40000,0.25020
0.20000,0.40000,0.25018
0.30000,0.40000,0.25015
0.40000,0.40000,0.25012
0.50000,0.40000,0.25009
0.60000,0.40000,0.25003
0.70000,0.40000,0.24996
0.80000,0.40000,0.24993
0.90000,0.40000,0.24991
0.00000,0.50000,0.25017
0.10000,0.50000,0.25016
0.20000,0.50000,0.25014
0.30000,0.50000,0.25011
0.40000,0.50000,0.25009
0.50000,0.50000,0.25010
0.60000,0.50000,0.24994
0.70000,0.50000,0.24988
0.80000,0.50000,0.24986
0.90000,0.50000,0.24985
0.00000,0.60000,0.25013
0.10000,0.60000,0.25012
0.20000,0.60000,0.25010
0.30000,0.60000,0.25006
0.40000,0.60000,0.25003
0.50000,0.60000,0.24994
0.60000,0.60000,0.24979
0.70000,0.60000,0.24982
0.80000,0.60000,0.24981
0.90000,0.60000,0.24980
0.00000,0.70000,0.25010
0.10000,0.70000,0.25008
0.20000,0.70000,0.25006
0.30000,0.70000,0.25001
0.40000,0.70000,0.24996
0.50000,0.70000,0.24988
0.60000,0.70000,0.24982
0.70000,0.70000,0.24979
0.80000,0.70000,0.24977
0.90000,0.70000,0.24976
0.00000,0.80000,0.25007
0.10000,0.80000,0.25006
0.20000,0.80000,0.25002
0.30000,0.80000,0.24998
0.40000,0.80000,0.24993
0.50000,0.80000,0.24986
0.60000,0.80000,0.24981
0.70000,0.80000,0.24977
0.80000,0.80000,0.24975
0.90000,0.80000,0.24973
0.00000,0.90000,0.25006
0.10000,0.90000,0.25004
0.20000,0.90000,0.25001
0.30000,0.90000,0.24996
0.40000,0.90000,0.24991
0.50000,0.90000,0.24985
0.60000,0.90000,0.24980
0.70000,0.90000,0.24976
0.80000,0.90000,0.24973
0.90000,0.90000,0.24972

