x,y,value
0.00000,0,0.01268
0.05000,0,0.01270
0.10000,0,0.01273
0.15000,0,0.01278
0.20000,0,0.01284
0.25000,0,0.01292
0.30000,0,0.01302
0.35000,0,0.01313
0.40000,0,0.01325
0.45000,0,0.01340
0.50000,0,0.01356
0.55000,0,0.01373
0.60000,0,0.01392
0.65000,0,0.01413
0.70000,0,0.01436
0.75000,0,0.01460
0.80000,0,0.01485
0.85000,0,0.01512
0.90000,0,0.01541
0.95000,0,0.01572
1.00000,0,0.01604
1.05000,0,0.01638
1.10000,0,0.01673
1.15000,0,0.01710
1.20000,0,0.01749
1.25000,0,0.01790
1.30000,0,0.01832
1.35000,0,0.01875
1.40000,0,0.01921
1.45000,0,0.01968
1.50000,0,0.02016
1.55000,0,0.02067
1.60000,0,0.02119
1.65000,0,0.02173
1.70000,0,0.02228
1.75000,0,0.02285
1.80000,0,0.02343
1.85000,0,0.02404
1.90000,0,0.02465
1.95000,0,0.02529
2.00000,0,0.02594
2.05000,0,0.02661
2.10000,0,0.02729
2.15000,0,0.02798
2.20000,0,0.02870
2.25000,0,0.02943
2.30000,0,0.03017
2.35000,0,0.03092
2.40000,0,0.03170
2.45000,0,0.03248
2.50000,0,0.03328
2.55000,0,0.03409
2.60000,0,0.03492
2.65000,0,0.03576
2.70000,0,0.03660
2.75000,0,0.03747
2.80000,0,0.03834
2.85000,0,0.03922
2.90000,0,0.04011
2.95000,0,0.04101
3.00000,0,0.04192
3.05000,0,0.04284
3.10000,0,0.04376
3.15000,0,0.04470
3.20000,0,0.04563
3.25000,0,0.04657
3.30000,0,0.04752
3.35000,0,0.04847
3.40000,0,0.04942
3.45000,0,0.05037
3.50000,0,0.05132
3.55000,0,0.05227
3.60000,0,0.05321
3.65000,0,0.05416
3.70000,0,0.05509
3.75000,0,0.05603
3.80000,0,0.05695
3.85000,0,0.05787
3.90000,0,0.05878
3.95000,0,0.05967
4.00000,0,0.06055
4.05000,0,0.06142
4.10000,0,0.06228
4.15000,0,0.06311
4.20000,0,0.06393
4.25000,0,0.06473
4.30000,0,0.06550
4.35000,0,0.06626
4.40000,0,0.06699
4.45000,0,0.06769
4.50000,0,0.06836
4.55000,0,0.06901
4.60000,0,0.06963
4.65000,0,0.07022
4.70000,0,0.07077
4.75000,0,0.07129
4.80000,0,0.07178
4.85000,0,0.07218
4.90000,0,0.07247
4.95000,0,0.07267
5.00000,0,0.07276
5.05000,0,0.07276
5.10000,0,0.07267
5.15000,0,0.07247
5.20000,0,0.07218
5.25000,0,0.07179
5.30000,0,0.07130
5.35000,0,0.07078
5.40000,0,0.07022
5.45000,0,0.06964
5.50000,0,0.06902
5.55000,0,0.06837
5.60000,0,0.06770
5.65000,0,0.06699
5.70000,0,0.06627
5.75000,0,0.06551
5.80000,0,0.06474
5.85000,0,0.06394
5.90000,0,0.06312
5.95000,0,0.06229
6.00000,0,0.06144
6.05000,0,0.06057
6.10001,0,0.05969
6.15001,0,0.05879
6.20001,0,0.05789
6.25001,0,0.05697
6.30001,0,0.05605
6.35001,0,0.05512
6.40001,0,0.05418
6.45001,0,0.05324
6.50001,0,0.05229
6.55001,0,0.05134
6.60001,0,0.05040
6.65001,0,0.04945
6.70001,0,0.04850
6.75001,0,0.04755
6.80001,0,0.04661
6.85001,0,0.04567
6.90001,0,0.04473
6.95001,0,0.04381
7.00001,0,0.04288
7.05001,0,0.04197
7.10001,0,0.04106
7.15001,0,0.04016
7.20001,0,0.03927
7.25001,0,0.03839
7.30001,0,0.03752
7.35001,0,0.03666
7.40001,0,0.03582
7.45001,0,0.03498
7.50001,0,0.03416
7.55001,0,0.03335
7.60001,0,0.03256
7.65001,0,0.03177
7.70001,0,0.03101
7.75001,0,0.03025
7.80001,0,0.02951
7.85001,0,0.02879
7.90001,0,0.02808
7.95001,0,0.02739
8.00001,0,0.02671
8.05001,0,0.02605
8.10001,0,0.02540
8.15001,0,0.02477
8.20001,0,0.02416
8.25001,0,0.02356
8.30001,0,0.02298
8.35001,0,0.02242
8.40001,0,0.02187
8.45001,0,0.02134
8.50001,0,0.02083
8.55001,0,0.02033
8.60001,0,0.01985
8.65001,0,0.01938
8.70002,0,0.01894
8.75002,0,0.01851
8.80002,0,0.01810
8.85002,0,0.01770
8.90002,0,0.01732
8.95002,0,0.01696
9.00002,0,0.01661
9.05002,0,0.01628
9.10002,0,0.01597
9.15002,0,0.01567
9.20002,0,0.01539
9.25002,0,0.01513
9.30002,0,0.01489
9.35002,0,0.01466
9.40002,0,0.01444
9.45002,0,0.01425
9.50002,0,0.01407
9.55002,0,0.01391
9.60002,0,0.01376
9.65002,0,0.01363
9.70002,0,0.01351
9.75002,0,0.01342
9.80002,0,0.01333
9.85002,0,0.01327
9.90002,0,0.01322
9.95002,0,0.01319
10.00002,0,0.01317


