x,y,value
0.00000,0,1.26456
0.05000,0,1.26463
0.10000,0,1.26476
0.15000,0,1.26496
0.20000,0,1.26522
0.25000,0,1.26555
0.30000,0,1.26595
0.35000,0,1.26642
0.40000,0,1.26695
0.45000,0,1.26755
0.50000,0,1.26821
0.55000,0,1.26894
0.60000,0,1.26973
0.65000,0,1.27058
0.70000,0,1.27149
0.75000,0,1.27246
0.80000,0,1.27348
0.85000,0,1.27457
0.90000,0,1.27572
0.95000,0,1.27692
1.00000,0,1.27816
1.05000,0,1.27946
1.10000,0,1.28081
1.15000,0,1.28222
1.20000,0,1.28366
1.25000,0,1.28514
1.30000,0,1.28667
1.35000,0,1.28825
1.40000,0,1.28986
1.45000,0,1.29150
1.50000,0,1.29318
1.55000,0,1.29490
1.60000,0,1.29664
1.65000,0,1.29840
1.70000,0,1.30020
1.75000,0,1.30203
1.80000,0,1.30387
1.85000,0,1.30573
1.90000,0,1.30762
1.95000,0,1.30952
2.00000,0,1.31142
2.05000,0,1.31335
2.10000,0,1.31529
2.15000,0,1.31723
2.20000,0,1.31918
2.25000,0,1.32114
2.30000,0,1.32309
2.35000,0,1.32505
2.40000,0,1.32701
2.45000,0,1.32896
2.50000,0,1.33090
2.55000,0,1.33285
2.60000,0,1.33478
2.65000,0,1.33670
2.70000,0,1.33861
2.75000,0,1.34051
2.80000,0,1.34240
2.85000,0,1.34426
2.90000,0,1.34611
2.95000,0,1.34794
3.00000,0,1.34975
3.05000,0,1.35153
3.10000,0,1.35329
3.15000,0,1.35503
3.20000,0,1.35673
3.25000,0,1.35841
3.30000,0,1.36006
3.35000,0,1.36169
3.40000,0,1.36327
3.45000,0,1.36482
3.50000,0,1.36634
3.55000,0,1.36783
3.60000,0,1.36928
3.65000,0,1.37069
3.70000,0,1.37206
3.75000,0,1.37339
3.80000,0,1.37469
3.85000,0,1.37595
3.90000,0,1.37715
3.95000,0,1.37831
4.00000,0,1.37943
4.05000,0,1.38051
4.10000,0,1.38154
4.15000,0,1.38253
4.20000,0,1.38347
4.25000,0,1.38435
4.30000,0,1.38518
4.35000,0,1.38597
4.40000,0,1.38670
4.45000,0,1.38739
4.50000,0,1.38803
4.55000,0,1.38861
4.60000,0,1.38914
4.65000,0,1.38961
4.70000,0,1.39003
4.75000,0,1.39039
4.80000,0,1.39069
4.85000,0,1.39093
4.90000,0,1.39112
4.95000,0,1.39125
5.00000,0,1.39131
5.05000,0,1.39132
5.10000,0,1.39127
5.15000,0,1.39116
5.20000,0,1.39100
5.25000,0,1.39077
5.30000,0,1.39049
5.35000,0,1.39015
5.40000,0,1.38975
5.45000,0,1.38930
5.50000,0,1.38879
5.55000,0,1.38822
5.60000,0,1.38761
5.65000,0,1.38694
5.70000,0,1.38622
5.75000,0,1.38546
5.80000,0,1.38464
5.85000,0,1.38378
5.90000,0,1.38287
5.95000,0,1.38191
6.00000,0,1.38090
6.05000,0,1.37984
6.10001,0,1.37874
6.15001,0,1.37761
6.20001,0,1.37643
6.25001,0,1.37520
6.30001,0,1.37393
6.35001,0,1.37262
6.40001,0,1.37128
6.45001,0,1.36990
6.50001,0,1.36848
6.55001,0,1.36702
6.60001,0,1.36553
6.65001,0,1.36401
6.70001,0,1.36246
6.75001,0,1.36087
6.80001,0,1.35925
6.85001,0,1.35761
6.90001,0,1.35594
6.95001,0,1.35424
7.00001,0,1.35252
7.05001,0,1.35077
7.10001,0,1.34901
7.15001,0,1.34722
7.20001,0,1.34541
7.25001,0,1.34360
7.30001,0,1.34176
7.35001,0,1.33991
7.40001,0,1.33804
7.45001,0,1.33617
7.50001,0,1.33429
7.55001,0,1.33239
7.60001,0,1.33050
7.65001,0,1.32861
7.70001,0,1.32670
7.75001,0,1.32480
7.80001,0,1.32291
7.85001,0,1.32101
7.90001,0,1.31912
7.95001,0,1.31724
8.00001,0,1.31537
8.05001,0,1.31350
8.10001,0,1.31165
8.15001,0,1.30983
8.20001,0,1.30801
8.25001,0,1.30621
8.30001,0,1.30444
8.35001,0,1.30269
8.40001,0,1.30097
8.45001,0,1.29927
8.50001,0,1.29760
8.55001,0,1.29597
8.60001,0,1.29436
8.65001,0,1.29279
8.70002,0,1.29127
8.75002,0,1.28978
8.80002,0,1.28832
8.85002,0,1.28691
8.90002,0,1.28555
8.95002,0,1.28424
9.00002,0,1.28297
9.05002,0,1.28175
9.10002,0,1.28058
9.15002,0,1.27947
9.20002,0,1.27841
9.25002,0,1.27741
9.30002,0,1.27646
9.35002,0,1.27557
9.40002,0,1.27474
9.45002,0,1.27397
9.50002,0,1.27326
9.55002,0,1.27262
9.60002,0,1.27204
9.65002,0,1.27152
9.70002,0,1.27107
9.75002,0,1.27068
9.80002,0,1.27035
9.85002,0,1.27009
9.90002,0,1.26990
9.95002,0,1.26977
10.00002,0,1.26970


