x,y,value
0.00000,0,0.14817
0.05000,0,0.14831
0.10000,0,0.14858
0.15000,0,0.14898
0.20000,0,0.14952
0.25000,0,0.15020
0.30000,0,0.15101
0.35000,0,0.15195
0.40000,0,0.15303
0.45000,0,0.15424
0.50000,0,0.15559
0.55000,0,0.15707
0.60000,0,0.15869
0.65000,0,0.16043
0.70000,0,0.16231
0.75000,0,0.16433
0.80000,0,0.16647
0.85000,0,0.16875
0.90000,0,0.17116
0.95000,0,0.17369
1.00000,0,0.17636
1.05000,0,0.17916
1.10000,0,0.18209
1.15000,0,0.18514
1.20000,0,0.18832
1.25000,0,0.19163
1.30000,0,0.19506
1.35000,0,0.19862
1.40000,0,0.20230
1.45000,0,0.20611
1.50000,0,0.21003
1.55000,0,0.21408
1.60000,0,0.21825
1.65000,0,0.22253
1.70000,0,0.22693
1.75000,0,0.23144
1.80000,0,0.23607
1.85000,0,0.24081
1.90000,0,0.24566
1.95000,0,0.25062
2.00000,0,0.25568
2.05000,0,0.26084
2.10000,0,0.26611
2.15000,0,0.27148
2.20000,0,0.27694
2.25000,0,0.28250
2.30000,0,0.28815
2.35000,0,0.29389
2.40000,0,0.29971
2.45000,0,0.30562
2.50000,0,0.31161
2.55000,0,0.31767
2.60000,0,0.32381
2.65000,0,0.33002
2.70000,0,0.33629
2.75000,0,0.34262
2.80000,0,0.34902
2.85000,0,0.35546
2.90000,0,0.36196
2.95000,0,0.36849
3.00000,0,0.37507
3.05000,0,0.38169
3.10000,0,0.38833
3.15000,0,0.39500
3.20000,0,0.40168
3.25000,0,0.40838
3.30000,0,0.41509
3.35000,0,0.42179
3.40000,0,0.42849
3.45000,0,0.43518
3.50000,0,0.44185
3.55000,0,0.44849
3.60000,0,0.45510
3.65000,0,0.46166
3.70000,0,0.46818
3.75000,0,0.47463
3.80000,0,0.48102
3.85000,0,0.48734
3.90000,0,0.49356
3.95000,0,0.49969
4.00000,0,0.50572
4.05000,0,0.51163
4.10000,0,0.51741
4.15000,0,0.52305
4.20000,0,0.52853
4.25000,0,0.53385
4.30000,0,0.53899
4.35000,0,0.54393
4.40000,0,0.54866
4.45000,0,0.55317
4.50000,0,0.55742
4.55000,0,0.56141
4.60000,0,0.56512
4.65000,0,0.56851
4.70000,0,0.57157
4.75000,0,0.57427
4.80000,0,0.62658
4.85000,0,0.62846
4.90000,0,0.62989
4.95000,0,0.63086
5.00000,0,0.63135
5.05000,0,0.63136
5.10000,0,0.63087
5.15000,0,0.62991
5.20000,0,0.62848
5.25000,0,0.62661
5.30000,0,0.57431
5.35000,0,0.57162
5.40000,0,0.56857
5.45000,0,0.56518
5.50000,0,0.56149
5.55000,0,0.55751
5.60000,0,0.55326
5.65000,0,0.54876
5.70000,0,0.54404
5.75000,0,0.53911
5.80000,0,0.53398
5.85000,0,0.52867
5.90000,0,0.52319
5.95000,0,0.51757
6.00000,0,0.51180
6.05000,0,0.50590
6.10001,0,0.49988
6.15001,0,0.49376
6.20001,0,0.48755
6.25001,0,0.48125
6.30001,0,0.47487
6.35001,0,0.46843
6.40001,0,0.46193
6.45001,0,0.45538
6.50001,0,0.44879
6.55001,0,0.44216
6.60001,0,0.43551
6.65001,0,0.42884
6.70001,0,0.42216
6.75001,0,0.41547
6.80001,0,0.40878
6.85001,0,0.40210
6.90001,0,0.39544
6.95001,0,0.38879
7.00001,0,0.38217
7.05001,0,0.37558
7.10001,0,0.36902
7.15001,0,0.36251
7.20001,0,0.35604
7.25001,0,0.34962
7.30001,0,0.34326
7.35001,0,0.33695
7.40001,0,0.33071
7.45001,0,0.32454
7.50001,0,0.31843
7.55001,0,0.31240
7.60001,0,0.30645
7.65001,0,0.30058
7.70001,0,0.29479
7.75001,0,0.28909
7.80001,0,0.28348
7.85001,0,0.27796
7.90001,0,0.27254
7.95001,0,0.26722
8.00001,0,0.26200
8.05001,0,0.25688
8.10001,0,0.25186
8.15001,0,0.24696
8.20001,0,0.24216
8.25001,0,0.23748
8.30001,0,0.23290
8.35001,0,0.22845
8.40001,0,0.22411
8.45001,0,0.21989
8.50001,0,0.21578
8.55001,0,0.21180
8.60001,0,0.20794
8.65001,0,0.20421
8.70002,0,0.20060
8.75002,0,0.19711
8.80002,0,0.19375
8.85002,0,0.19052
8.90002,0,0.18742
8.95002,0,0.18445
9.00002,0,0.18161
9.05002,0,0.17890
9.10002,0,0.17632
9.15002,0,0.17387
9.20002,0,0.17155
9.25002,0,0.16937
9.30002,0,0.16733
9.35002,0,0.16542
9.40002,0,0.16364
9.45002,0,0.16200
9.50002,0,0.16049
9.55002,0,0.15912
9.60002,0,0.15789
9.65002,0,0.15679
9.70002,0,0.15583
9.75002,0,0.15500
9.80002,0,0.15432
9.85002,0,0.15377
9.90002,0,0.15336
9.95002,0,0.15308
10.00002,0,0.15294


