,time,TD,N,CH
0,0.00000,10.00000,1.00000,1.00000
1,0.01000,10.01001,0.99705,1.02203
2,0.02000,10.02002,0.99419,1.04411
3,0.03000,10.03005,0.99143,1.06624
4,0.04000,10.04008,0.98876,1.08842
5,0.05000,10.05013,0.98618,1.11066
6,0.06000,10.06018,0.98371,1.13295
7,0.07000,10.07025,0.98133,1.15528
8,0.08000,10.08032,0.97905,1.17767
9,0.09000,10.09041,0.97686,1.20010
10,0.10000,10.10050,0.97477,1.22258
11,0.11000,10.11061,0.97278,1.24510
12,0.12000,10.12072,0.97089,1.26768
13,0.13000,10.13085,0.96910,1.29029
14,0.14000,10.14098,0.96741,1.31296
15,0.15000,10.15113,0.96582,1.33566
16,0.16000,10.16129,0.96433,1.35841
17,0.17000,10.17145,0.96294,1.38120
18,0.18000,10.18163,0.96165,1.40403
19,0.19000,10.19182,0.96046,1.42690
20,0.20000,10.20201,0.95938,1.44981
21,0.21000,10.21222,0.95840,1.47276
22,0.22000,10.22244,0.95752,1.49575
23,0.23000,10.23267,0.95674,1.51878
24,0.24000,10.24290,0.95607,1.54184
25,0.25000,10.25315,0.95550,1.56494
26,0.26000,10.26341,0.95503,1.58807
27,0.27000,10.27368,0.95467,1.61124
28,0.28000,10.28396,0.95441,1.63444
29,0.29000,10.29425,0.95426,1.65767
30,0.30000,10.30455,0.95422,1.68094
31,0.31000,10.31486,0.95428,1.70423
32,0.32000,10.32518,0.95445,1.72756
33,0.33000,10.33551,0.95472,1.75091
34,0.34000,10.34585,0.95511,1.77429
35,0.35000,10.35620,0.95560,1.79770
36,0.36000,10.36656,0.95619,1.82114
37,0.37000,10.37693,0.95690,1.84460
38,0.38000,10.38731,0.95771,1.86809
39,0.39000,10.39770,0.95864,1.89160
40,0.40000,10.40811,0.95967,1.91514
41,0.41000,10.41852,0.96081,1.93870
42,0.42000,10.42894,0.96206,1.96228
43,0.43000,10.43938,0.96342,1.98588
44,0.44000,10.44982,0.96490,2.00950
45,0.45000,10.46028,0.96648,2.03314
46,0.46000,10.47074,0.96817,2.05680
47,0.47000,10.48122,0.96998,2.08047
48,0.48000,10.49171,0.97189,2.10416
49,0.49000,10.50220,0.97392,2.12787
50,0.50000,10.51271,0.97606,2.15159
51,0.51000,10.52323,0.97832,2.17533
52,0.52000,10.53376,0.98069,2.19908
53,0.53000,10.54430,0.98316,2.22284
54,0.54000,10.55485,0.98576,2.24661
55,0.55000,10.56541,0.98846,2.27040
56,0.56000,10.57598,0.99128,2.29419
57,0.57000,10.58656,0.99422,2.31799
58,0.58000,10.59715,0.99727,2.34180
59,0.59000,10.60775,1.00043,2.36562
60,0.60000,10.61837,1.00371,2.38944
61,0.61000,10.62899,1.00711,2.41327
62,0.62000,10.63962,1.01061,2.43710
63,0.63000,10.65027,1.01424,2.46094
64,0.64000,10.66092,1.01798,2.48478
65,0.65000,10.67159,1.02184,2.50861
66,0.66000,10.68227,1.02581,2.53246
67,0.67000,10.69295,1.02990,2.55630
68,0.68000,10.70365,1.03411,2.58013
69,0.69000,10.71436,1.03843,2.60397
70,0.70000,10.72508,1.04287,2.62781
71,0.71000,10.73581,1.04743,2.65164
72,0.72000,10.74655,1.05211,2.67546
73,0.73000,10.75731,1.05690,2.69928
74,0.74000,10.76807,1.06181,2.72309
75,0.75000,10.77884,1.06684,2.74690
76,0.76000,10.78963,1.07199,2.77070
77,0.77000,10.80042,1.07726,2.79449
78,0.78000,10.81123,1.08264,2.81826
79,0.79000,10.82204,1.08815,2.84203
80,0.80000,10.83287,1.09377,2.86578
81,0.81000,10.84371,1.09952,2.88953
82,0.82000,10.85456,1.10538,2.91325
83,0.83000,10.86542,1.11136,2.93697
84,0.84000,10.87629,1.11746,2.96067
85,0.85000,10.88717,1.12369,2.98435
86,0.86000,10.89806,1.13003,3.00801
87,0.87000,10.90897,1.13649,3.03165
88,0.88000,10.91988,1.14307,3.05528
89,0.89000,10.93081,1.14977,3.07888
90,0.90000,10.94174,1.15660,3.10247
91,0.91000,10.95269,1.16354,3.12603
92,0.92000,10.96365,1.17061,3.14957
93,0.93000,10.97462,1.17779,3.17308
94,0.94000,10.98560,1.18510,3.19657
95,0.95000,10.99659,1.19253,3.22003
96,0.96000,11.00759,1.20008,3.24347
97,0.97000,11.01860,1.20775,3.26688
98,0.98000,11.02963,1.21554,3.29025
99,0.99000,11.04066,1.22345,3.31360
100,1.00000,11.05171,1.23149,3.33692
101,1.01000,11.06277,1.23965,3.36021
102,1.02000,11.07383,1.24792,3.38346
103,1.03000,11.08491,1.25632,3.40669
104,1.04000,11.09600,1.26485,3.42987
105,1.05000,11.10711,1.27349,3.45302
106,1.06000,11.11822,1.28226,3.47614
107,1.07000,11.12934,1.29114,3.49922
108,1.08000,11.14048,1.30015,3.52226
109,1.09000,11.15162,1.30929,3.54526
110,1.10000,11.16278,1.31854,3.56822
111,1.11000,11.17395,1.32792,3.59114
112,1.12000,11.18513,1.33742,3.61401
113,1.13000,11.19632,1.34704,3.63685
114,1.14000,11.20752,1.35678,3.65964
115,1.15000,11.21873,1.36665,3.68239
116,1.16000,11.22996,1.37663,3.70509
117,1.17000,11.24119,1.38674,3.72774
118,1.18000,11.25244,1.39697,3.75034
119,1.19000,11.26370,1.40733,3.77290
120,1.20000,11.27497,1.41781,3.79541
121,1.21000,11.28625,1.42840,3.81787
122,1.22000,11.29754,1.43913,3.84027
123,1.23000,11.30884,1.44997,3.86262
124,1.24000,11.32016,1.46093,3.88492
125,1.25000,11.33148,1.47202,3.90717
126,1.26000,11.34282,1.48323,3.92936
127,1.27000,11.35417,1.49456,3.95150
128,1.28000,11.36553,1.50602,3.97357
129,1.29000,11.37690,1.51759,3.99559
130,1.30000,11.38828,1.52929,4.01755
131,1.31000,11.39968,1.54111,4.03945
132,1.32000,11.41108,1.55305,4.06129
133,1.33000,11.42250,1.56511,4.08307
134,1.34000,11.43393,1.57729,4.10479
135,1.35000,11.44537,1.58960,4.12644
136,1.36000,11.45682,1.60203,4.14802
137,1.37000,11.46828,1.61457,4.16954
138,1.38000,11.47976,1.62724,4.19100
139,1.39000,11.49124,1.64003,4.21239
140,1.40000,11.50274,1.65294,4.23371
141,1.41000,11.51425,1.66598,4.25496
142,1.42000,11.52577,1.67913,4.27614
143,1.43000,11.53730,1.69240,4.29724
144,1.44000,11.54884,1.70580,4.31828
145,1.45000,11.56040,1.71931,4.33924
146,1.46000,11.57196,1.73295,4.36013
147,1.47000,11.58354,1.74670,4.38095
