,time,TD,N,CH
0,0.00000,10.00000,0.00000,0.00000
1,0.01000,10.00001,0.00321,0.00001
2,0.02000,10.00002,0.00640,0.00004
3,0.03000,10.00005,0.00959,0.00009
4,0.04000,10.00008,0.01277,0.00015
5,0.05000,10.00013,0.01593,0.00024
6,0.06000,10.00019,0.01909,0.00034
7,0.07000,10.00026,0.02224,0.00046
8,0.08000,10.00033,0.02538,0.00060
9,0.09000,10.00042,0.02850,0.00076
10,0.10000,10.00052,0.03162,0.00094
11,0.11000,10.00063,0.03473,0.00114
12,0.12000,10.00075,0.03783,0.00135
13,0.13000,10.00088,0.04092,0.00158
14,0.14000,10.00102,0.04401,0.00183
15,0.15000,10.00116,0.04708,0.00210
16,0.16000,10.00132,0.05015,0.00239
17,0.17000,10.00149,0.05320,0.00269
18,0.18000,10.00167,0.05625,0.00302
19,0.19000,10.00186,0.05929,0.00336
20,0.20000,10.00206,0.06232,0.00371
21,0.21000,10.00227,0.06535,0.00409
22,0.22000,10.00249,0.06836,0.00448
23,0.23000,10.00272,0.07137,0.00489
24,0.24000,10.00295,0.07437,0.00532
25,0.25000,10.00320,0.07736,0.00576
26,0.26000,10.00346,0.08035,0.00622
27,0.27000,10.00373,0.08333,0.00670
28,0.28000,10.00401,0.08630,0.00720
29,0.29000,10.00429,0.08926,0.00771
30,0.30000,10.00459,0.09222,0.00824
31,0.31000,10.00490,0.09517,0.00879
32,0.32000,10.00521,0.09811,0.00936
33,0.33000,10.00554,0.10105,0.00994
34,0.34000,10.00587,0.10398,0.01053
35,0.35000,10.00622,0.10691,0.01115
36,0.36000,10.00657,0.10982,0.01178
37,0.37000,10.00694,0.11273,0.01243
38,0.38000,10.00731,0.11564,0.01309
39,0.39000,10.00770,0.11854,0.01377
40,0.40000,10.00809,0.12143,0.01447
41,0.41000,10.00849,0.12432,0.01518
42,0.42000,10.00890,0.12720,0.01591
43,0.43000,10.00932,0.13008,0.01666
44,0.44000,10.00975,0.13295,0.01742
45,0.45000,10.01019,0.13581,0.01820
46,0.46000,10.01064,0.13867,0.01900
47,0.47000,10.01110,0.14153,0.01981
48,0.48000,10.01157,0.14438,0.02063
49,0.49000,10.01205,0.14722,0.02148
50,0.50000,10.01253,0.15006,0.02234
51,0.51000,10.01303,0.15289,0.02321
52,0.52000,10.01353,0.15573,0.02410
53,0.53000,10.01405,0.15855,0.02501
54,0.54000,10.01457,0.16137,0.02593
55,0.55000,10.01510,0.16419,0.02687
56,0.56000,10.01564,0.16700,0.02782
57,0.57000,10.01620,0.16981,0.02879
58,0.58000,10.01676,0.17261,0.02977
59,0.59000,10.01733,0.17541,0.03077
60,0.60000,10.01790,0.17821,0.03179
61,0.61000,10.01849,0.18100,0.03282
62,0.62000,10.01909,0.18379,0.03387
63,0.63000,10.01969,0.18657,0.03493
64,0.64000,10.02031,0.18936,0.03601
65,0.65000,10.02093,0.19213,0.03710
66,0.66000,10.02157,0.19491,0.03821
67,0.67000,10.02221,0.19768,0.03933
68,0.68000,10.02286,0.20045,0.04047
69,0.69000,10.02352,0.20321,0.04162
70,0.70000,10.02419,0.20597,0.04279
71,0.71000,10.02487,0.20873,0.04397
72,0.72000,10.02556,0.21149,0.04517
73,0.73000,10.02625,0.21424,0.04639
74,0.74000,10.02696,0.21699,0.04762
75,0.75000,10.02767,0.21974,0.04886
76,0.76000,10.02840,0.22249,0.05012
77,0.77000,10.02913,0.22523,0.05139
78,0.78000,10.02987,0.22797,0.05268
79,0.79000,10.03062,0.23071,0.05398
80,0.80000,10.03138,0.23344,0.05530
81,0.81000,10.03215,0.23618,0.05663
82,0.82000,10.03293,0.23891,0.05798
83,0.83000,10.03371,0.24164,0.05934
84,0.84000,10.03451,0.24437,0.06072
85,0.85000,10.03531,0.24710,0.06211
86,0.86000,10.03613,0.24982,0.06352
87,0.87000,10.03695,0.25254,0.06494
88,0.88000,10.03778,0.25527,0.06637
89,0.89000,10.03862,0.25799,0.06782
90,0.90000,10.03947,0.26071,0.06929
91,0.91000,10.04032,0.26342,0.07076
92,0.92000,10.04119,0.26614,0.07226
93,0.93000,10.04207,0.26886,0.07377
94,0.94000,10.04295,0.27157,0.07529
95,0.95000,10.04384,0.27429,0.07682
96,0.96000,10.04475,0.27700,0.07838
97,0.97000,10.04566,0.27971,0.07994
98,0.98000,10.04658,0.28242,0.08152
99,0.99000,10.04751,0.28513,0.08311
100,1.00000,10.04844,0.28784,0.08472
101,1.01000,10.04939,0.29055,0.08634
102,1.02000,10.05034,0.29326,0.08798
103,1.03000,10.05131,0.29597,0.08963
104,1.04000,10.05228,0.29868,0.09130
105,1.05000,10.05326,0.30139,0.09298
106,1.06000,10.05425,0.30409,0.09467
107,1.07000,10.05525,0.30680,0.09638
108,1.08000,10.05626,0.30951,0.09810
109,1.09000,10.05728,0.31222,0.09984
110,1.10000,10.05831,0.31493,0.10159
111,1.11000,10.05934,0.31764,0.10335
112,1.12000,10.06038,0.32035,0.10513
113,1.13000,10.06144,0.32305,0.10692
114,1.14000,10.06250,0.32576,0.10873
115,1.15000,10.06357,0.32848,0.11055
116,1.16000,10.06465,0.33119,0.11239
117,1.17000,10.06574,0.33390,0.11423
118,1.18000,10.06683,0.33661,0.11610
119,1.19000,10.06794,0.33932,0.11797
120,1.20000,10.06905,0.34204,0.11986
121,1.21000,10.07018,0.34475,0.12177
122,1.22000,10.07131,0.34747,0.12369
123,1.23000,10.07245,0.35019,0.12562
