,time,TD,N,CH
0,0.00000,12.00000,3.00000,4.00000
1,0.01000,12.00150,3.01450,3.99910
2,0.02000,12.00301,3.02899,3.99820
3,0.03000,12.00453,3.04347,3.99731
4,0.04000,12.00606,3.05795,3.99641
5,0.05000,12.00759,3.07242,3.99552
6,0.06000,12.00913,3.08688,3.99463
7,0.07000,12.01068,3.10134,3.99374
8,0.08000,12.01223,3.11579,3.99285
9,0.09000,12.01379,3.13023,3.99197
10,0.10000,12.01536,3.14467,3.99109
11,0.11000,12.01694,3.15910,3.99020
12,0.12000,12.01852,3.17352,3.98932
13,0.13000,12.02011,3.18794,3.98844
14,0.14000,12.02171,3.20235,3.98757
15,0.15000,12.02331,3.21676,3.98669
16,0.16000,12.02493,3.23116,3.98582
17,0.17000,12.02654,3.24555,3.98495
18,0.18000,12.02817,3.25993,3.98408
19,0.19000,12.02980,3.27431,3.98321
20,0.20000,12.03145,3.28869,3.98234
21,0.21000,12.03309,3.30305,3.98148
22,0.22000,12.03475,3.31741,3.98061
23,0.23000,12.03641,3.33177,3.97975
24,0.24000,12.03808,3.34611,3.97889
25,0.25000,12.03976,3.36045,3.97803
26,0.26000,12.04144,3.37479,3.97718
27,0.27000,12.04313,3.38912,3.97632
28,0.28000,12.04483,3.40344,3.97547
29,0.29000,12.04654,3.41775,3.97462
30,0.30000,12.04825,3.43206,3.97377
31,0.31000,12.04997,3.44637,3.97292
32,0.32000,12.05169,3.46066,3.97207
33,0.33000,12.05343,3.47495,3.97123
34,0.34000,12.05517,3.48924,3.97039
35,0.35000,12.05692,3.50351,3.96955
36,0.36000,12.05867,3.51779,3.96871
37,0.37000,12.06044,3.53205,3.96787
38,0.38000,12.06220,3.54631,3.96703
39,0.39000,12.06398,3.56056,3.96620
40,0.40000,12.06577,3.57481,3.96536
41,0.41000,12.06756,3.58905,3.96453
42,0.42000,12.06935,3.60329,3.96370
43,0.43000,12.07116,3.61751,3.96287
44,0.44000,12.07297,3.63174,3.96205
45,0.45000,12.07479,3.64595,3.96122
46,0.46000,12.07662,3.66016,3.96040
47,0.47000,12.07845,3.67437,3.95958
48,0.48000,12.08029,3.68856,3.95876
49,0.49000,12.08214,3.70276,3.95794
50,0.50000,12.08399,3.71694,3.95713
51,0.51000,12.08586,3.73112,3.95631
52,0.52000,12.08773,3.74529,3.95550
53,0.53000,12.08960,3.75946,3.95469
54,0.54000,12.09149,3.77362,3.95388
55,0.55000,12.09338,3.78778,3.95307
56,0.56000,12.09527,3.80193,3.95226
57,0.57000,12.09718,3.81607,3.95146
58,0.58000,12.09909,3.83021,3.95066
59,0.59000,12.10101,3.84434,3.94985
60,0.60000,12.10293,3.85847,3.94905
61,0.61000,12.10487,3.87259,3.94826
62,0.62000,12.10681,3.88670,3.94746
63,0.63000,12.10875,3.90081,3.94667
64,0.64000,12.11071,3.91491,3.94587
65,0.65000,12.11267,3.92901,3.94508
66,0.66000,12.11464,3.94310,3.94429
67,0.67000,12.11661,3.95718,3.94350
68,0.68000,12.11859,3.97126,3.94272
69,0.69000,12.12058,3.98533,3.94193
70,0.70000,12.12258,3.99940,3.94115
71,0.71000,12.12458,4.01346,3.94037
72,0.72000,12.12659,4.02752,3.93959
73,0.73000,12.12861,4.04157,3.93881
74,0.74000,12.13063,4.05561,3.93803
75,0.75000,12.13266,4.06965,3.93726
76,0.76000,12.13470,4.08368,3.93648
77,0.77000,12.13675,4.09771,3.93571
78,0.78000,12.13880,4.11173,3.93494
79,0.79000,12.14086,4.12574,3.93417
80,0.80000,12.14293,4.13975,3.93341
81,0.81000,12.14500,4.15375,3.93264
82,0.82000,12.14708,4.16775,3.93188
83,0.83000,12.14917,4.18175,3.93112
84,0.84000,12.15126,4.19573,3.93035
85,0.85000,12.15336,4.20971,3.92960
86,0.86000,12.15547,4.22369,3.92884
87,0.87000,12.15759,4.23766,3.92808
88,0.88000,12.15971,4.25162,3.92733
89,0.89000,12.16184,4.26558,3.92658
90,0.90000,12.16398,4.27953,3.92583
91,0.91000,12.16612,4.29348,3.92508
92,0.92000,12.16827,4.30742,3.92433
93,0.93000,12.17043,4.32136,3.92358
94,0.94000,12.17259,4.33529,3.92284
95,0.95000,12.17476,4.34921,3.92210
96,0.96000,12.17694,4.36313,3.92136
97,0.97000,12.17912,4.37705,3.92062
98,0.98000,12.18132,4.39096,3.91988
99,0.99000,12.18352,4.40486,3.91914
100,1.00000,12.18572,4.41876,3.91841
101,1.01000,12.18793,4.43265,3.91768
102,1.02000,12.19015,4.44653,3.91695
103,1.03000,12.19238,4.46042,3.91622
104,1.04000,12.19461,4.47429,3.91549
105,1.05000,12.19685,4.48816,3.91476
106,1.06000,12.19910,4.50203,3.91404
107,1.07000,12.20136,4.51589,3.91331
108,1.08000,12.20362,4.52974,3.91259
109,1.09000,12.20589,4.54359,3.91187
110,1.10000,12.20816,4.55743,3.91115
111,1.11000,12.21044,4.57127,3.91044
112,1.12000,12.21273,4.58510,3.90972
113,1.13000,12.21503,4.59893,3.90901
114,1.14000,12.21733,4.61275,3.90830
115,1.15000,12.21964,4.62657,3.90759
116,1.16000,12.22196,4.64038,3.90688
117,1.17000,12.22428,4.65419,3.90617
118,1.18000,12.22661,4.66799,3.90546
119,1.19000,12.22895,4.68178,3.90476
120,1.20000,12.23129,4.69557,3.90406
121,1.21000,12.23365,4.70936,3.90336
122,1.22000,12.23600,4.72314,3.90266
123,1.23000,12.23837,4.73691,3.90196
124,1.24000,12.24074,4.75068,3.90126
125,1.25000,12.24312,4.76444,3.90057
126,1.26000,12.24551,4.77820,3.89988
127,1.27000,12.24790,4.79196,3.89918
128,1.28000,12.25030,4.80571,3.89849
129,1.29000,12.25270,4.81945,3.89781
130,1.30000,12.25512,4.83319,3.89712
131,1.31000,12.25754,4.84692,3.89643
132,1.32000,12.25996,4.86065,3.89575
133,1.33000,12.26240,4.87437,3.89507
134,1.34000,12.26484,4.88809,3.89439
135,1.35000,12.26729,4.90180,3.89371
136,1.36000,12.26974,4.91551,3.89303
137,1.37000,12.27220,4.92921,3.89236
138,1.38000,12.27467,4.94291,3.89168
139,1.39000,12.27714,4.95660,3.89101
140,1.40000,12.27963,4.97029,3.89034
141,1.41000,12.28211,4.98397,3.88967
142,1.42000,12.28461,4.99765,3.88900
143,1.43000,12.28711,5.01132,3.88834
144,1.44000,12.28962,5.02499,3.88767
145,1.45000,12.29214,5.03865,3.88701
146,1.46000,12.29466,5.05231,3.88635
147,1.47000,12.29719,5.06596,3.88569
148,1.48000,12.29973,5.07961,3.88503
149,1.49000,12.30227,5.09325,3.88437
150,1.50000,12.30482,5.10689,3.88372
151,1.51000,12.30738,5.12052,3.88306
152,1.52000,12.30994,5.13415,3.88241
153,1.53000,12.31251,5.14777,3.88176
154,1.54000,12.31509,5.16139,3.88111
155,1.55000,12.31767,5.17500,3.88047
156,1.56000,12.32026,5.18861,3.87982
157,1.57000,12.32286,5.20221,3.87918
158,1.58000,12.32546,5.21581,3.87853
159,1.59000,12.32808,5.22940,3.87789
160,1.60000,12.33069,5.24299,3.87725
161,1.61000,12.33332,5.25658,3.87661
162,1.62000,12.33595,5.27016,3.87598
163,1.63000,12.33859,5.28373,3.87534
164,1.64000,12.34123,5.29730,3.87471
165,1.65000,12.34389,5.31087,3.87408
166,1.66000,12.34654,5.32443,3.87345
167,1.67000,12.34921,5.33798,3.87282
168,1.68000,12.35188,5.35153,3.87219
169,1.69000,12.35456,5.36508,3.87156
170,1.70000,12.35725,5.37862,3.87094
171,1.71000,12.35994,5.39216,3.87032
172,1.72000,12.36264,5.40569,3.86970
173,1.73000,12.36535,5.41921,3.86908
174,1.74000,12.36806,5.43274,3.86846
175,1.75000,12.37078,5.44626,3.86784
176,1.76000,12.37351,5.45977,3.86723
177,1.77000,12.37624,5.47328,3.86661
178,1.78000,12.37898,5.48678,3.86600
179,1.79000,12.38173,5.50028,3.86539
180,1.80000,12.38448,5.51377,3.86478
181,1.81000,12.38724,5.52726,3.86418
182,1.82000,12.39001,5.54075,3.86357
183,1.83000,12.39278,5.55423,3.86297
184,1.84000,12.39556,5.56771,3.86236
185,1.85000,12.39835,5.58118,3.86176
186,1.86000,12.40114,5.59465,3.86116
187,1.87000,12.40394,5.60811,3.86056
188,1.88000,12.40675,5.62157,3.85997
189,1.89000,12.40956,5.63502,3.85937
190,1.90000,12.41238,5.64847,3.85878
191,1.91000,12.41521,5.66192,3.85819
192,1.92000,12.41805,5.67536,3.85760
193,1.93000,12.42089,5.68879,3.85701
194,1.94000,12.42374,5.70222,3.85642
195,1.95000,12.42659,5.71565,3.85583
196,1.96000,12.42945,5.72907,3.85525
197,1.97000,12.43232,5.74249,3.85467
198,1.98000,12.43519,5.75590,3.85409
199,1.99000,12.43807,5.76931,3.85351
200,2.00000,12.44096,5.78272,3.85293
201,2.01000,12.44386,5.79612,3.85235
202,2.02000,12.44676,5.80951,3.85177
203,2.03000,12.44967,5.82290,3.85120
204,2.04000,12.45258,5.83629,3.85063
205,2.05000,12.45550,5.84967,3.85006
206,2.06000,12.45843,5.86305,3.84949
207,2.07000,12.46137,5.87643,3.84892
208,2.08000,12.46431,5.88980,3.84835
209,2.09000,12.46726,5.90316,3.84779
210,2.10000,12.47021,5.91652,3.84723
211,2.11000,12.47317,5.92988,3.84666
212,2.12000,12.47614,5.94323,3.84610
213,2.13000,12.47912,5.95658,3.84555
214,2.14000,12.48210,5.96993,3.84499
215,2.15000,12.48509,5.98327,3.84443
216,2.16000,12.48808,5.99660,3.84388
217,2.17000,12.49108,6.00993,3.84333
218,2.18000,12.49409,6.02326,3.84277
219,2.19000,12.49711,6.03658,3.84222
220,2.20000,12.50013,6.04990,3.84168
221,2.21000,12.50316,6.06322,3.84113
222,2.22000,12.50619,6.07653,3.84058
223,2.23000,12.50923,6.08984,3.84004
224,2.24000,12.51228,6.10314,3.83950
225,2.25000,12.51534,6.11644,3.83896
226,2.26000,12.51840,6.12973,3.83842
227,2.27000,12.52147,6.14302,3.83788
228,2.28000,12.52454,6.15631,3.83734
229,2.29000,12.52762,6.16959,3.83681
230,2.30000,12.53071,6.18286,3.83628
231,2.31000,12.53380,6.19614,3.83574
232,2.32000,12.53691,6.20941,3.83521
233,2.33000,12.54001,6.22267,3.83468
234,2.34000,12.54313,6.23593,3.83416
235,2.35000,12.54625,6.24919,3.83363
236,2.36000,12.54938,6.26245,3.83311
237,2.37000,12.55251,6.27569,3.83258
238,2.38000,12.55565,6.28894,3.83206
239,2.39000,12.55880,6.30218,3.83154
240,2.40000,12.56196,6.31542,3.83102
241,2.41000,12.56512,6.32865,3.83051
242,2.42000,12.56828,6.34188,3.82999
243,2.43000,12.57146,6.35511,3.82948
244,2.44000,12.57464,6.36833,3.82896
