,time,TD,N,CH,M,A
0,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000
1,0.01000,9.98005,0.01998,0.01498,0.04989,0.00012
2,0.02000,9.96020,0.03992,0.02992,0.09955,0.00050
3,0.03000,9.94045,0.05981,0.04482,0.14899,0.00112
4,0.04000,9.92080,0.07966,0.05968,0.19821,0.00198
5,0.05000,9.90124,0.09946,0.07450,0.24721,0.00309
6,0.06000,9.88179,0.11922,0.08927,0.29599,0.00443
7,0.07000,9.86243,0.13892,0.10400,0.34455,0.00602
8,0.08000,9.84317,0.15857,0.11867,0.39289,0.00784
9,0.09000,9.82401,0.17817,0.13330,0.44102,0.00990
10,0.10000,9.80494,0.19771,0.14788,0.48893,0.01219
11,0.11000,9.78597,0.21719,0.16241,0.53662,0.01472
12,0.12000,9.76709,0.23662,0.17688,0.58410,0.01747
13,0.13000,9.74831,0.25598,0.19130,0.63137,0.02045
14,0.14000,9.72962,0.27529,0.20567,0.67843,0.02366
15,0.15000,9.71103,0.29453,0.21998,0.72528,0.02709
16,0.16000,9.69253,0.31370,0.23423,0.77191,0.03075
17,0.17000,9.67413,0.33281,0.24843,0.81834,0.03463
18,0.18000,9.65581,0.35186,0.26256,0.86456,0.03872
19,0.19000,9.63759,0.37083,0.27663,0.91058,0.04304
20,0.20000,9.61946,0.38973,0.29065,0.95639,0.04757
21,0.21000,9.60142,0.40856,0.30460,1.00199,0.05232
22,0.22000,9.58347,0.42732,0.31848,1.04739,0.05728
23,0.23000,9.56561,0.44600,0.33231,1.09259,0.06245
24,0.24000,9.54784,0.46460,0.34606,1.13758,0.06783
25,0.25000,9.53016,0.48313,0.35976,1.18238,0.07342
26,0.26000,9.51256,0.50158,0.37338,1.22697,0.07921
27,0.27000,9.49505,0.51995,0.38694,1.27137,0.08521
28,0.28000,9.47763,0.53824,0.40043,1.31557,0.09141
29,0.29000,9.46029,0.55644,0.41385,1.35957,0.09782
30,0.30000,9.44304,0.57457,0.42720,1.40337,0.10442
31,0.31000,9.42588,0.59260,0.44048,1.44698,0.11122
32,0.32000,9.40880,0.61056,0.45369,1.49040,0.11822
33,0.33000,9.39180,0.62842,0.46682,1.53362,0.12542
34,0.34000,9.37488,0.64619,0.47989,1.57665,0.13281
35,0.35000,9.35805,0.66388,0.49288,1.61949,0.14039
36,0.36000,9.34129,0.68148,0.50580,1.66213,0.14816
37,0.37000,9.32462,0.69898,0.51865,1.70459,0.15612
38,0.38000,9.30803,0.71639,0.53142,1.74685,0.16427
39,0.39000,9.29152,0.73371,0.54412,1.78893,0.17260
40,0.40000,9.27509,0.75093,0.55674,1.83083,0.18112
41,0.41000,9.25873,0.76806,0.56929,1.87253,0.18982
42,0.42000,9.24245,0.78509,0.58176,1.91405,0.19871
43,0.43000,9.22625,0.80202,0.59416,1.95539,0.20777
44,0.44000,9.21013,0.81886,0.60648,1.99654,0.21701
45,0.45000,9.19408,0.83559,0.61873,2.03750,0.22643
46,0.46000,9.17810,0.85223,0.63089,2.07829,0.23603
47,0.47000,9.16220,0.86876,0.64298,2.11889,0.24580
48,0.48000,9.14638,0.88520,0.65500,2.15932,0.25574
49,0.49000,9.13062,0.90153,0.66694,2.19956,0.26586
50,0.50000,9.11494,0.91775,0.67880,2.23963,0.27614
51,0.51000,9.09933,0.93387,0.69058,2.27951,0.28660
52,0.52000,9.08379,0.94989,0.70229,2.31922,0.29722
53,0.53000,9.06832,0.96580,0.71391,2.35876,0.30800
54,0.54000,9.05292,0.98161,0.72547,2.39811,0.31896
55,0.55000,9.03759,0.99731,0.73694,2.43729,0.33007
56,0.56000,9.02233,1.01290,0.74834,2.47630,0.34135
57,0.57000,9.00714,1.02838,0.75965,2.51514,0.35279
58,0.58000,8.99201,1.04375,0.77090,2.55380,0.36438
59,0.59000,8.97695,1.05902,0.78206,2.59229,0.37614
60,0.60000,8.96195,1.07417,0.79315,2.63061,0.38805
61,0.61000,8.94702,1.08921,0.80415,2.66875,0.40011
62,0.62000,8.93216,1.10414,0.81509,2.70673,0.41233
63,0.63000,8.91736,1.11896,0.82594,2.74454,0.42471
64,0.64000,8.90262,1.13367,0.83672,2.78218,0.43723
65,0.65000,8.88795,1.14827,0.84742,2.81966,0.44991
66,0.66000,8.87333,1.16275,0.85805,2.85697,0.46273
67,0.67000,8.85878,1.17712,0.86860,2.89411,0.47570
68,0.68000,8.84429,1.19137,0.87907,2.93108,0.48881
69,0.69000,8.82986,1.20551,0.88947,2.96789,0.50208
70,0.70000,8.81549,1.21953,0.89979,3.00454,0.51548
71,0.71000,8.80118,1.23344,0.91003,3.04103,0.52903
72,0.72000,8.78693,1.24724,0.92020,3.07735,0.54272
73,0.73000,8.77273,1.26091,0.93030,3.11351,0.55654
74,0.74000,8.75859,1.27447,0.94032,3.14951,0.57051
75,0.75000,8.74451,1.28792,0.95027,3.18535,0.58462
76,0.76000,8.73049,1.30125,0.96014,3.22103,0.59886
77,0.77000,8.71652,1.31446,0.96994,3.25655,0.61323
78,0.78000,8.70261,1.32755,0.97967,3.29191,0.62774
79,0.79000,8.68875,1.34053,0.98932,3.32712,0.64238
80,0.80000,8.67494,1.35339,0.99890,3.36216,0.65716
81,0.81000,8.66119,1.36613,1.00840,3.39705,0.67206
82,0.82000,8.64749,1.37875,1.01784,3.43179,0.68710
83,0.83000,8.63385,1.39125,1.02720,3.46637,0.70226
84,0.84000,8.62025,1.40364,1.03649,3.50080,0.71755
85,0.85000,8.60671,1.41591,1.04571,3.53507,0.73296
86,0.86000,8.59322,1.42806,1.05486,3.56919,0.74850
87,0.87000,8.57978,1.44009,1.06394,3.60316,0.76416
88,0.88000,8.56639,1.45200,1.07295,3.63697,0.77995
89,0.89000,8.55304,1.46379,1.08189,3.67063,0.79585
90,0.90000,8.53975,1.47546,1.09076,3.70415,0.81188
