,time,TD,N,CH
0,0.00000,12.00000,3.00000,4.00000
1,0.01000,12.00150,3.01450,3.99880
2,0.02000,12.00301,3.02899,3.99760
3,0.03000,12.00453,3.04347,3.99640
4,0.04000,12.00606,3.05794,3.99520
5,0.05000,12.00759,3.07241,3.99400
6,0.06000,12.00913,3.08688,3.99281
7,0.07000,12.01068,3.10133,3.99161
8,0.08000,12.01223,3.11578,3.99041
9,0.09000,12.01379,3.13022,3.98921
10,0.10000,12.01536,3.14465,3.98802
11,0.11000,12.01694,3.15908,3.98682
12,0.12000,12.01852,3.17350,3.98563
13,0.13000,12.02011,3.18792,3.98443
14,0.14000,12.02171,3.20232,3.98324
15,0.15000,12.02331,3.21672,3.98204
16,0.16000,12.02493,3.23112,3.98085
17,0.17000,12.02654,3.24550,3.97965
18,0.18000,12.02817,3.25988,3.97846
19,0.19000,12.02980,3.27426,3.97726
20,0.20000,12.03145,3.28862,3.97607
21,0.21000,12.03309,3.30298,3.97488
22,0.22000,12.03475,3.31734,3.97369
23,0.23000,12.03641,3.33168,3.97250
24,0.24000,12.03808,3.34602,3.97130
25,0.25000,12.03976,3.36036,3.97011
26,0.26000,12.04144,3.37468,3.96892
27,0.27000,12.04313,3.38900,3.96773
28,0.28000,12.04483,3.40332,3.96654
29,0.29000,12.04653,3.41762,3.96535
30,0.30000,12.04825,3.43192,3.96416
31,0.31000,12.04997,3.44622,3.96297
32,0.32000,12.05169,3.46050,3.96178
33,0.33000,12.05343,3.47478,3.96060
34,0.34000,12.05517,3.48906,3.95941
35,0.35000,12.05692,3.50332,3.95822
36,0.36000,12.05867,3.51758,3.95703
37,0.37000,12.06043,3.53184,3.95585
38,0.38000,12.06220,3.54608,3.95466
39,0.39000,12.06398,3.56032,3.95347
40,0.40000,12.06576,3.57456,3.95229
41,0.41000,12.06755,3.58878,3.95110
42,0.42000,12.06935,3.60301,3.94992
43,0.43000,12.07116,3.61722,3.94873
44,0.44000,12.07297,3.63143,3.94755
45,0.45000,12.07479,3.64563,3.94636
46,0.46000,12.07662,3.65983,3.94518
47,0.47000,12.07845,3.67401,3.94400
48,0.48000,12.08029,3.68820,3.94281
49,0.49000,12.08214,3.70237,3.94163
50,0.50000,12.08399,3.71654,3.94045
51,0.51000,12.08585,3.73070,3.93927
52,0.52000,12.08772,3.74486,3.93808
53,0.53000,12.08960,3.75901,3.93690
54,0.54000,12.09148,3.77315,3.93572
55,0.55000,12.09337,3.78729,3.93454
56,0.56000,12.09527,3.80142,3.93336
57,0.57000,12.09717,3.81555,3.93218
58,0.58000,12.09908,3.82967,3.93100
59,0.59000,12.10100,3.84378,3.92982
60,0.60000,12.10293,3.85788,3.92864
61,0.61000,12.10486,3.87198,3.92747
62,0.62000,12.10680,3.88608,3.92629
63,0.63000,12.10875,3.90016,3.92511
64,0.64000,12.11070,3.91424,3.92393
65,0.65000,12.11266,3.92832,3.92276
66,0.66000,12.11463,3.94239,3.92158
67,0.67000,12.11660,3.95645,3.92040
68,0.68000,12.11858,3.97050,3.91923
69,0.69000,12.12057,3.98455,3.91805
70,0.70000,12.12257,3.99860,3.91688
71,0.71000,12.12457,4.01263,3.91570
72,0.72000,12.12658,4.02667,3.91453
73,0.73000,12.12860,4.04069,3.91335
74,0.74000,12.13062,4.05471,3.91218
75,0.75000,12.13265,4.06872,3.91100
76,0.76000,12.13469,4.08273,3.90983
77,0.77000,12.13674,4.09673,3.90866
78,0.78000,12.13879,4.11072,3.90749
79,0.79000,12.14085,4.12471,3.90631
80,0.80000,12.14291,4.13869,3.90514
81,0.81000,12.14499,4.15267,3.90397
82,0.82000,12.14707,4.16664,3.90280
83,0.83000,12.14915,4.18060,3.90163
84,0.84000,12.15125,4.19456,3.90046
85,0.85000,12.15335,4.20851,3.89929
86,0.86000,12.15545,4.22245,3.89812
87,0.87000,12.15757,4.23639,3.89695
88,0.88000,12.15969,4.25033,3.89578
89,0.89000,12.16182,4.26425,3.89461
90,0.90000,12.16396,4.27817,3.89344
91,0.91000,12.16610,4.29209,3.89228
92,0.92000,12.16825,4.30600,3.89111
93,0.93000,12.17040,4.31990,3.88994
94,0.94000,12.17257,4.33380,3.88878
95,0.95000,12.17474,4.34769,3.88761
96,0.96000,12.17691,4.36158,3.88644
97,0.97000,12.17910,4.37546,3.88528
98,0.98000,12.18129,4.38933,3.88411
99,0.99000,12.18349,4.40320,3.88295
100,1.00000,12.18569,4.41706,3.88178
101,1.01000,12.18791,4.43092,3.88062
102,1.02000,12.19012,4.44477,3.87945
103,1.03000,12.19235,4.45861,3.87829
104,1.04000,12.19458,4.47245,3.87713
105,1.05000,12.19682,4.48628,3.87596
106,1.06000,12.19907,4.50011,3.87480
107,1.07000,12.20132,4.51393,3.87364
108,1.08000,12.20358,4.52774,3.87248
109,1.09000,12.20585,4.54155,3.87132
110,1.10000,12.20812,4.55536,3.87015
111,1.11000,12.21041,4.56915,3.86899
112,1.12000,12.21269,4.58295,3.86783
113,1.13000,12.21499,4.59673,3.86667
114,1.14000,12.21729,4.61051,3.86551
115,1.15000,12.21960,4.62429,3.86435
116,1.16000,12.22192,4.63806,3.86319
117,1.17000,12.22424,4.65182,3.86204
118,1.18000,12.22657,4.66558,3.86088
119,1.19000,12.22890,4.67933,3.85972
120,1.20000,12.23125,4.69308,3.85856
121,1.21000,12.23360,4.70682,3.85740
122,1.22000,12.23595,4.72055,3.85625
123,1.23000,12.23832,4.73428,3.85509
124,1.24000,12.24069,4.74800,3.85393
125,1.25000,12.24306,4.76172,3.85278
126,1.26000,12.24545,4.77543,3.85162
127,1.27000,12.24784,4.78914,3.85047
128,1.28000,12.25024,4.80284,3.84931
129,1.29000,12.25264,4.81654,3.84816
130,1.30000,12.25505,4.83023,3.84700
131,1.31000,12.25747,4.84391,3.84585
132,1.32000,12.25990,4.85759,3.84470
133,1.33000,12.26233,4.87126,3.84354
134,1.34000,12.26477,4.88493,3.84239
135,1.35000,12.26722,4.89859,3.84124
136,1.36000,12.26967,4.91225,3.84008
137,1.37000,12.27213,4.92590,3.83893
138,1.38000,12.27459,4.93954,3.83778
139,1.39000,12.27707,4.95318,3.83663
140,1.40000,12.27955,4.96682,3.83548
141,1.41000,12.28203,4.98045,3.83433
142,1.42000,12.28453,4.99407,3.83318
143,1.43000,12.28703,5.00769,3.83203
144,1.44000,12.28954,5.02130,3.83088
145,1.45000,12.29205,5.03491,3.82973
146,1.46000,12.29457,5.04851,3.82858
147,1.47000,12.29710,5.06211,3.82743
148,1.48000,12.29963,5.07570,3.82629
149,1.49000,12.30217,5.08928,3.82514
150,1.50000,12.30472,5.10286,3.82399
151,1.51000,12.30728,5.11644,3.82284
152,1.52000,12.30984,5.13001,3.82170
153,1.53000,12.31241,5.14357,3.82055
154,1.54000,12.31498,5.15713,3.81940
155,1.55000,12.31756,5.17068,3.81826
156,1.56000,12.32015,5.18423,3.81711
157,1.57000,12.32275,5.19777,3.81597
158,1.58000,12.32535,5.21131,3.81482
159,1.59000,12.32796,5.22484,3.81368
160,1.60000,12.33058,5.23837,3.81254
161,1.61000,12.33320,5.25189,3.81139
162,1.62000,12.33583,5.26540,3.81025
163,1.63000,12.33846,5.27891,3.80911
164,1.64000,12.34111,5.29242,3.80796
165,1.65000,12.34376,5.30592,3.80682
166,1.66000,12.34641,5.31942,3.80568
167,1.67000,12.34908,5.33291,3.80454
168,1.68000,12.35174,5.34639,3.80340
169,1.69000,12.35442,5.35987,3.80226
170,1.70000,12.35710,5.37334,3.80111
171,1.71000,12.35979,5.38681,3.79997
172,1.72000,12.36249,5.40028,3.79883
173,1.73000,12.36520,5.41373,3.79770
174,1.74000,12.36791,5.42719,3.79656
175,1.75000,12.37062,5.44064,3.79542
176,1.76000,12.37335,5.45408,3.79428
177,1.77000,12.37608,5.46752,3.79314
178,1.78000,12.37881,5.48095,3.79200
179,1.79000,12.38156,5.49438,3.79087
180,1.80000,12.38431,5.50780,3.78973
181,1.81000,12.38707,5.52122,3.78859
182,1.82000,12.38983,5.53463,3.78746
183,1.83000,12.39260,5.54804,3.78632
184,1.84000,12.39538,5.56144,3.78518
185,1.85000,12.39816,5.57484,3.78405
186,1.86000,12.40095,5.58823,3.78291
187,1.87000,12.40375,5.60162,3.78178
188,1.88000,12.40655,5.61500,3.78064
189,1.89000,12.40936,5.62838,3.77951
190,1.90000,12.41218,5.64175,3.77838
191,1.91000,12.41501,5.65512,3.77724
192,1.92000,12.41784,5.66848,3.77611
193,1.93000,12.42067,5.68184,3.77498
194,1.94000,12.42352,5.69519,3.77384
195,1.95000,12.42637,5.70854,3.77271
196,1.96000,12.42923,5.72188,3.77158
197,1.97000,12.43209,5.73522,3.77045
198,1.98000,12.43496,5.74855,3.76932
199,1.99000,12.43784,5.76188,3.76819
