x,y,value
0.00000,0.00000,0.85556
0.10000,0.00000,0.85563
0.20000,0.00000,0.85578
0.30000,0.00000,0.85599
0.40000,0.00000,0.85624
0.50000,0.00000,0.85651
0.60000,0.00000,0.85677
0.70000,0.00000,0.85702
0.80000,0.00000,0.85722
0.90000,0.00000,0.85736
1.00000,0.00000,0.85743
1.10000,0.00000,0.85741
1.20000,0.00000,0.85729
1.30000,0.00000,0.85705
1.40000,0.00000,0.85666
1.50000,0.00000,0.85609
1.60000,0.00000,0.85527
1.70000,0.00000,0.85411
1.80000,0.00000,0.85248
1.90000,0.00000,0.85017
2.00000,0.00000,0.84689
2.10000,0.00000,0.84222
2.20000,0.00000,0.83564
2.30000,0.00000,0.82659
2.39000,0.00000,0.81448
2.49000,0.00000,0.79888
2.59000,0.00000,0.77998
2.69000,0.00000,0.76014
2.79000,0.00000,0.74693
2.89000,0.00000,0.74910
2.99000,0.00000,0.76321
3.09000,0.00000,0.78027
3.19000,0.00000,0.79578
3.29000,0.00000,0.80849
3.39000,0.00000,0.81827
3.49000,0.00000,0.82528
3.59000,0.00000,0.82973
3.69000,0.00000,0.83180
3.79000,0.00000,0.83160
3.89000,0.00000,0.82932
3.99000,0.00000,0.82538
4.09000,0.00000,0.82068
4.19000,0.00000,0.81672
4.29000,0.00000,0.81528
4.39000,0.00000,0.81720
4.49000,0.00000,0.82160
4.59000,0.00000,0.82667
4.69000,0.00000,0.83085
4.79000,0.00000,0.83322
4.89000,0.00000,0.83333
4.99000,0.00000,0.83093
5.09000,0.00000,0.82641
5.19000,0.00000,0.81926
5.29000,0.00000,0.80909
5.39000,0.00000,0.79554
5.49000,0.00000,0.77815
5.59000,0.00000,0.75630
5.69000,0.00000,0.72894
5.79000,0.00000,0.69439
5.89000,0.00000,0.65251
5.99000,0.00000,0.62727
6.09000,0.00000,0.65769
6.19000,0.00000,0.70384
6.29000,0.00000,0.73992
6.39000,0.00000,0.76705
6.49000,0.00000,0.78767
6.59000,0.00000,0.80324
6.69000,0.00000,0.81471
6.79000,0.00000,0.82281
6.89000,0.00000,0.82816
6.99000,0.00000,0.83128
7.09000,0.00000,0.83257
7.19000,0.00000,0.83234
7.29000,0.00000,0.83083
7.39000,0.00000,0.82826
7.49000,0.00000,0.82489
7.59000,0.00000,0.82105
7.69000,0.00000,0.81720
7.79000,0.00000,0.81384
7.89000,0.00000,0.81139
7.99000,0.00000,0.81007
8.09000,0.00000,0.80982
8.19000,0.00000,0.81034
8.29000,0.00000,0.81129
8.39000,0.00000,0.81237
8.49000,0.00000,0.81341
8.59000,0.00000,0.81436
8.69000,0.00000,0.81524
8.79000,0.00000,0.81612
8.89000,0.00000,0.81707
8.99000,0.00000,0.81812
9.09000,0.00000,0.81927
9.19000,0.00000,0.82048
9.29000,0.00000,0.82169
9.39000,0.00000,0.82284
9.50000,0.00000,0.82386
9.60000,0.00000,0.82473
9.70000,0.00000,0.82539
9.80000,0.00000,0.82584
9.90000,0.00000,0.82607
0.00000,0.10000,0.85496
0.10000,0.10000,0.85506
0.20000,0.10000,0.85523
0.30000,0.10000,0.85548
0.40000,0.10000,0.85578
0.50000,0.10000,0.85611
0.60000,0.10000,0.85644
0.70000,0.10000,0.85673
0.80000,0.10000,0.85698
0.90000,0.10000,0.85716
1.00000,0.10000,0.85726
1.10000,0.10000,0.85727
1.20000,0.10000,0.85718
1.30000,0.10000,0.85696
1.40000,0.10000,0.85659
1.50000,0.10000,0.85604
1.60000,0.10000,0.85525
1.70000,0.10000,0.85413
1.80000,0.10000,0.85255
1.90000,0.10000,0.85032
2.00000,0.10000,0.84716
2.10000,0.10000,0.84268
2.20000,0.10000,0.83641
2.30000,0.10000,0.82781
2.39000,0.10000,0.81637
2.49000,0.10000,0.80177
2.59000,0.10000,0.78432
2.69000,0.10000,0.76620
2.79000,0.10000,0.75366
2.89000,0.10000,0.75420
2.99000,0.10000,0.76605
3.09000,0.10000,0.78154
3.19000,0.10000,0.79611
3.29000,0.10000,0.80828
3.39000,0.10000,0.81779
3.49000,0.10000,0.82471
