x,y,value
0.00000,0.00000,0.00000
0.10000,0.00000,0.00000
0.20000,0.00000,0.00000
0.30000,0.00000,0.00000
0.40000,0.00000,0.00000
0.50000,0.00000,0.00000
0.60000,0.00000,0.00000
0.70000,0.00000,0.00000
0.80000,0.00000,0.00000
0.90000,0.00000,0.00000
1.00000,0.00000,0.00000
1.10000,0.00000,0.00000
1.20000,0.00000,0.00000
1.30000,0.00000,0.00000
1.40000,0.00000,0.00000
1.50000,0.00000,0.00000
1.60000,0.00000,0.00000
1.70000,0.00000,0.00000
1.80000,0.00000,0.00000
1.90000,0.00000,0.00002
2.00000,0.00000,0.00008
2.10000,0.00000,0.00035
2.20000,0.00000,0.00135
2.30000,0.00000,0.00452
2.39000,0.00000,0.01298
2.49000,0.00000,0.03144
2.59000,0.00000,0.06271
2.69000,0.00000,0.09989
2.79000,0.00000,0.12169
2.89000,0.00000,0.10961
2.99000,0.00000,0.07523
3.09000,0.00000,0.04109
3.19000,0.00000,0.01845
3.29000,0.00000,0.00698
3.39000,0.00000,0.00228
3.49000,0.00000,0.00067
3.59000,0.00000,0.00024
3.69000,0.00000,0.00033
3.79000,0.00000,0.00097
3.89000,0.00000,0.00274
3.99000,0.00000,0.00657
4.09000,0.00000,0.01284
4.19000,0.00000,0.01977
4.29000,0.00000,0.02301
4.39000,0.00000,0.01974
4.49000,0.00000,0.01280
4.59000,0.00000,0.00653
4.69000,0.00000,0.00272
4.79000,0.00000,0.00095
4.89000,0.00000,0.00028
4.99000,0.00000,0.00008
5.09000,0.00000,0.00003
5.19000,0.00000,0.00005
5.29000,0.00000,0.00020
5.39000,0.00000,0.00076
5.49000,0.00000,0.00252
5.59000,0.00000,0.00715
5.69000,0.00000,0.01708
5.79000,0.00000,0.03368
5.89000,0.00000,0.05320
5.99000,0.00000,0.06325
6.09000,0.00000,0.05296
6.19000,0.00000,0.03336
6.29000,0.00000,0.01683
6.39000,0.00000,0.00701
6.49000,0.00000,0.00246
6.59000,0.00000,0.00074
6.69000,0.00000,0.00019
6.79000,0.00000,0.00004
6.89000,0.00000,0.00001
6.99000,0.00000,0.00000
7.09000,0.00000,0.00000
7.19000,0.00000,0.00000
7.29000,0.00000,0.00000
7.39000,0.00000,0.00001
7.49000,0.00000,0.00002
7.59000,0.00000,0.00005
