x,y,value
0.00000,0.00000,0.99953
0.10000,0.00000,0.99953
0.20000,0.00000,0.99954
0.30000,0.00000,0.99954
0.40000,0.00000,0.99955
0.50000,0.00000,0.99956
0.60000,0.00000,0.99957
0.70000,0.00000,0.99957
0.80000,0.00000,0.99957
0.90000,0.00000,0.99958
1.00000,0.00000,0.99958
1.10000,0.00000,0.99958
1.20000,0.00000,0.99958
1.30000,0.00000,0.99958
1.40000,0.00000,0.99957
1.50000,0.00000,0.99957
1.60000,0.00000,0.99956
1.70000,0.00000,0.99952
1.80000,0.00000,0.99937
1.90000,0.00000,0.99891
2.00000,0.00000,0.99760
2.10000,0.00000,0.99428
2.20000,0.00000,0.98694
2.30000,0.00000,0.97237
2.39000,0.00000,0.94651
2.49000,0.00000,0.90822
2.59000,0.00000,0.86031
2.69000,0.00000,0.81363
2.79000,0.00000,0.78872
2.89000,0.00000,0.79701
2.99000,0.00000,0.83430
3.09000,0.00000,0.88198
3.19000,0.00000,0.92505
3.29000,0.00000,0.95725
3.39000,0.00000,0.97723
3.49000,0.00000,0.98792
3.59000,0.00000,0.99260
3.69000,0.00000,0.99255
3.79000,0.00000,0.98810
3.89000,0.00000,0.97897
3.99000,0.00000,0.96521
4.09000,0.00000,0.94871
4.19000,0.00000,0.93454
4.29000,0.00000,0.92891
4.39000,0.00000,0.93473
4.49000,0.00000,0.94903
4.59000,0.00000,0.96562
4.69000,0.00000,0.97950
4.79000,0.00000,0.98899
4.89000,0.00000,0.99400
4.99000,0.00000,0.99234
5.09000,0.00000,0.99459
5.19000,0.00000,0.99244
5.29000,0.00000,0.98497
5.39000,0.00000,0.96902
5.49000,0.00000,0.93824
5.59000,0.00000,0.88963
5.69000,0.00000,0.82257
5.79000,0.00000,0.74224
5.89000,0.00000,0.66565
5.99000,0.00000,0.63100
6.09000,0.00000,0.66884
6.19000,0.00000,0.74798
6.29000,0.00000,0.82929
6.39000,0.00000,0.89588
6.49000,0.00000,0.94306
6.59000,0.00000,0.97233
6.69000,0.00000,0.98747
6.79000,0.00000,0.99463
6.89000,0.00000,0.99773
