x,y,value
0.00000,0.00000,0.00001
0.10000,0.00000,0.00001
0.20000,0.00000,0.00001
0.30000,0.00000,0.00001
0.40000,0.00000,0.00000
0.50000,0.00000,0.00000
0.60000,0.00000,0.00000
0.70000,0.00000,0.00000
0.80000,0.00000,0.00000
0.90000,0.00000,0.00000
1.00000,0.00000,0.00000
1.10000,0.00000,0.00000
1.20000,0.00000,0.00000
1.30000,0.00000,0.00000
1.40000,0.00000,0.00000
1.50000,0.00000,0.00000
1.60000,0.00000,0.00000
1.70000,0.00000,0.00001
1.80000,0.00000,0.00005
1.90000,0.00000,0.00018
2.00000,0.00000,0.00066
2.10000,0.00000,0.00216
2.20000,0.00000,0.00624
2.30000,0.00000,0.01594
2.39000,0.00000,0.03556
2.49000,0.00000,0.06857
2.59000,0.00000,0.11322
2.69000,0.00000,0.15787
2.79000,0.00000,0.18249
2.89000,0.00000,0.17279
2.99000,0.00000,0.13528
3.09000,0.00000,0.08932
3.19000,0.00000,0.05055
3.29000,0.00000,0.02484
3.39000,0.00000,0.01078
3.49000,0.00000,0.00435
3.59000,0.00000,0.00212
3.69000,0.00000,0.00239
3.79000,0.00000,0.00503
3.89000,0.00000,0.01091
3.99000,0.00000,0.02080
4.09000,0.00000,0.03369
4.19000,0.00000,0.04550
4.29000,0.00000,0.05038
4.39000,0.00000,0.04539
4.49000,0.00000,0.03352
4.59000,0.00000,0.02061
4.69000,0.00000,0.01072
4.79000,0.00000,0.00480
4.89000,0.00000,0.00188
4.99000,0.00000,0.00067
5.09000,0.00000,0.00031
5.19000,0.00000,0.00047
5.29000,0.00000,0.00132
5.39000,0.00000,0.00368
5.49000,0.00000,0.00905
5.59000,0.00000,0.01939
5.69000,0.00000,0.03589
5.79000,0.00000,0.05716
5.89000,0.00000,0.07729
5.99000,0.00000,0.08599
6.09000,0.00000,0.07666
6.19000,0.00000,0.05618
6.29000,0.00000,0.03491
6.39000,0.00000,0.01863
6.49000,0.00000,0.00859
6.59000,0.00000,0.00344
6.69000,0.00000,0.00121
6.79000,0.00000,0.00038
6.89000,0.00000,0.00011
6.99000,0.00000,0.00003
7.09000,0.00000,0.00001
7.19000,0.00000,0.00002
7.29000,0.00000,0.00004
7.39000,0.00000,0.00010
7.49000,0.00000,0.00023
7.59000,0.00000,0.00045
7.69000,0.00000,0.00074
7.79000,0.00000,0.00100
7.89000,0.00000,0.00112
7.99000,0.00000,0.00101
8.09000,0.00000,0.00075
8.19000,0.00000,0.00047
8.29000,0.00000,0.00025
8.39000,0.00000,0.00011
8.49000,0.00000,0.00005
8.59000,0.00000,0.00003
8.69000,0.00000,0.00002
8.79000,0.00000,0.00002
8.89000,0.00000,0.00003
8.99000,0.00000,0.00002
9.09000,0.00000,0.00002
9.19000,0.00000,0.00001
9.29000,0.00000,0.00001
9.39000,0.00000,0.00000
9.50000,0.00000,0.00000
9.60000,0.00000,0.00000
9.70000,0.00000,0.00000
9.80000,0.00000,0.00000
9.90000,0.00000,0.00000
0.00000,0.10000,0.00002
0.10000,0.10000,0.00002
0.20000,0.10000,0.00002
0.30000,0.10000,0.00002
0.40000,0.10000,0.00002
0.50000,0.10000,0.00001
0.60000,0.10000,0.00000
0.70000,0.10000,0.00000
0.80000,0.10000,0.00000
0.90000,0.10000,0.00000
1.00000,0.10000,0.00000
1.10000,0.10000,0.00000
1.20000,0.10000,0.00000
1.30000,0.10000,0.00000
1.40000,0.10000,0.00000
1.50000,0.10000,0.00000
1.60000,0.10000,0.00000
1.70000,0.10000,0.00001
1.80000,0.10000,0.00004
1.90000,0.10000,0.00016
2.00000,0.10000,0.00057
2.10000,0.10000,0.00186
2.20000,0.10000,0.00542
2.30000,0.10000,0.01392
2.39000,0.10000,0.03128
2.49000,0.10000,0.06081
2.59000,0.10000,0.10131
2.69000,0.10000,0.14288
2.79000,0.10000,0.16777
2.89000,0.10000,0.16209
2.99000,0.10000,0.12962
3.09000,0.10000,0.08736
3.19000,0.10000,0.05055
3.29000,0.10000,0.02557
3.39000,0.10000,0.01159
3.49000,0.10000,0.00499
3.59000,0.10000,0.00263
3.69000,0.10000,0.00301
3.79000,0.10000,0.00621
3.89000,0.10000,0.01338
3.99000,0.10000,0.02549
4.09000,0.10000,0.04133
4.19000,0.10000,0.05589
4.29000,0.10000,0.06195
4.39000,0.10000,0.05579
4.49000,0.10000,0.04115
4.59000,0.10000,0.02528
4.69000,0.10000,0.01315
4.79000,0.10000,0.00589
4.89000,0.10000,0.00230
4.99000,0.10000,0.00082
5.09000,0.10000,0.00037
5.19000,0.10000,0.00050
5.29000,0.10000,0.00135
5.39000,0.10000,0.00369
5.49000,0.10000,0.00894
5.59000,0.10000,0.01892
5.69000,0.10000,0.03466
5.79000,0.10000,0.05469
5.89000,0.10000,0.07328
5.99000,0.10000,0.08088
6.09000,0.10000,0.07175
6.19000,0.10000,0.05239
6.29000,0.10000,0.03241
6.39000,0.10000,0.01722
6.49000,0.10000,0.00791
6.59000,0.10000,0.00316
6.69000,0.10000,0.00111
6.79000,0.10000,0.00034
6.89000,0.10000,0.00010
6.99000,0.10000,0.00003
7.09000,0.10000,0.00002
7.19000,0.10000,0.00003
7.29000,0.10000,0.00009
7.39000,0.10000,0.00024
7.49000,0.10000,0.00053
7.59000,0.10000,0.00102
7.69000,0.10000,0.00166
7.79000,0.10000,0.00225
7.89000,0.10000,0.00250
7.99000,0.10000,0.00227
8.09000,0.10000,0.00169
8.19000,0.10000,0.00105
8.29000,0.10000,0.00056
8.39000,0.10000,0.00026
8.49000,0.10000,0.00012
8.59000,0.10000,0.00007
8.69000,0.10000,0.00007
8.79000,0.10000,0.00008
8.89000,0.10000,0.00008
8.99000,0.10000,0.00007
9.09000,0.10000,0.00005
9.19000,0.10000,0.00003
9.29000,0.10000,0.00002
9.39000,0.10000,0.00001
9.50000,0.10000,0.00000
9.60000,0.10000,0.00000
9.70000,0.10000,0.00000
9.80000,0.10000,0.00000
9.90000,0.10000,0.00000
0.00000,0.20000,0.00009
0.10000,0.20000,0.00010
0.20000,0.20000,0.00010
0.30000,0.20000,0.00008
0.40000,0.20000,0.00006
0.50000,0.20000,0.00004
0.60000,0.20000,0.00002
0.70000,0.20000,0.00001
0.80000,0.20000,0.00000
0.90000,0.20000,0.00000
1.00000,0.20000,0.00000
1.10000,0.20000,0.00000
1.20000,0.20000,0.00000
1.30000,0.20000,0.00000
1.40000,0.20000,0.00000
1.50000,0.20000,0.00000
1.60000,0.20000,0.00000
1.70000,0.20000,0.00001
1.80000,0.20000,0.00003
1.90000,0.20000,0.00012
2.00000,0.20000,0.00043
2.10000,0.20000,0.00142
2.20000,0.20000,0.00417
2.30000,0.20000,0.01085
2.39000,0.20000,0.02475
2.49000,0.20000,0.04896
2.59000,0.20000,0.08318
2.69000,0.20000,0.12004
2.79000,0.20000,0.14507
2.89000,0.20000,0.14500
2.99000,0.20000,0.12010
3.09000,0.20000,0.08389
3.19000,0.20000,0.05069
3.29000,0.20000,0.02730
3.39000,0.20000,0.01359
3.49000,0.20000,0.00663
3.59000,0.20000,0.00383
3.69000,0.20000,0.00409
3.79000,0.20000,0.00785
3.89000,0.20000,0.01659
3.99000,0.20000,0.03150
4.09000,0.20000,0.05114
4.19000,0.20000,0.06931
4.29000,0.20000,0.07691
4.39000,0.20000,0.06920
4.49000,0.20000,0.05094
4.59000,0.20000,0.03124
4.69000,0.20000,0.01625
4.79000,0.20000,0.00727
4.89000,0.20000,0.00285
4.99000,0.20000,0.00102
5.09000,0.20000,0.00045
5.19000,0.20000,0.00058
5.29000,0.20000,0.00150
5.39000,0.20000,0.00391
5.49000,0.20000,0.00911
5.59000,0.20000,0.01862
5.69000,0.20000,0.03308
5.79000,0.20000,0.05066
5.89000,0.20000,0.06591
5.99000,0.20000,0.07096
6.09000,0.20000,0.06212
6.19000,0.20000,0.04502
6.29000,0.20000,0.02764
6.39000,0.20000,0.01456
6.49000,0.20000,0.00662
6.59000,0.20000,0.00262
6.69000,0.20000,0.00091
6.79000,0.20000,0.00028
6.89000,0.20000,0.00008
6.99000,0.20000,0.00003
7.09000,0.20000,0.00003
7.19000,0.20000,0.00008
7.29000,0.20000,0.00023
7.39000,0.20000,0.00059
7.49000,0.20000,0.00131
7.59000,0.20000,0.00252
7.69000,0.20000,0.00408
7.79000,0.20000,0.00551
7.89000,0.20000,0.00612
7.99000,0.20000,0.00555
8.09000,0.20000,0.00414
8.19000,0.20000,0.00259
8.29000,0.20000,0.00138
8.39000,0.20000,0.00066
8.49000,0.20000,0.00032
8.59000,0.20000,0.00022
8.69000,0.20000,0.00023
8.79000,0.20000,0.00027
8.89000,0.20000,0.00029
8.99000,0.20000,0.00026
9.09000,0.20000,0.00019
9.19000,0.20000,0.00012
9.29000,0.20000,0.00006
9.39000,0.20000,0.00003
9.50000,0.20000,0.00001
9.60000,0.20000,0.00000
9.70000,0.20000,0.00000
9.80000,0.20000,0.00000
9.90000,0.20000,0.00000
0.00000,0.30000,0.00034
0.10000,0.30000,0.00036
0.20000,0.30000,0.00035
0.30000,0.30000,0.00030
0.40000,0.30000,0.00022
0.50000,0.30000,0.00013
0.60000,0.30000,0.00007
0.70000,0.30000,0.00003
0.80000,0.30000,0.00001
0.90000,0.30000,0.00000
1.00000,0.30000,0.00000
1.10000,0.30000,0.00000
1.20000,0.30000,0.00000
1.30000,0.30000,0.00000
1.40000,0.30000,0.00000
1.50000,0.30000,0.00000
